Stock,Date,Close,Short_SMA,Long_SMA,Crossover_Type
CVX,2024-07-17,161.26,156.23615384615385,156.18970588235294,Golden Cross
SO,2024-07-17,81.63,78.83769230769232,78.74205882352942,Golden Cross
