Stock,Date,Close,Short_SMA,Long_SMA,Crossover_Type
SPXS,2024-07-19,7.71,7.376,7.348999999999999,Golden Cross
SH,2024-07-19,11.37,11.2,11.181999999999999,Golden Cross
